batsman,total_matches,total_runs,total_balls,total_fours,total_sixes,total_outs,total_30_plus,avg_runs,avg_strike_rate,boundary_freq,consistency_30_plus,dismissal_rate,position_preference,position_label
A Badoni,35,634,505,46,24,25,6,18.114285714285714,125.54455445544555,0.13861386138613863,0.17142857142857143,0.7142857142857143,7,Finisher
A Kamboj,1,2,2,0,0,0,0,2.0,100.0,0.0,0.0,0.0,9,Finisher
A Manohar,15,231,181,21,10,14,3,15.4,127.62430939226519,0.1712707182320442,0.2,0.9333333333333333,5,Middle-order
A Mishra,1,19,30,2,0,1,0,19.0,63.33333333333333,0.06666666666666667,0.0,1.0,9,Finisher
A Nortje,13,49,51,6,0,5,0,3.769230769230769,96.07843137254902,0.11764705882352941,0.0,0.38461538461538464,10,Finisher
A Raghuvanshi,7,163,109,16,8,7,3,23.285714285714285,149.54128440366972,0.22018348623853212,0.42857142857142855,1.0,2,Opener
A Tomar,1,4,8,1,0,1,0,4.0,50.0,0.125,0.0,1.0,3,Anchor
A Zampa,3,10,17,0,0,3,0,3.3333333333333335,58.82352941176471,0.0,0.0,1.0,10,Finisher
AA Kulkarni,2,9,8,2,0,2,0,4.5,112.5,0.25,0.0,1.0,2,Opener
AB de Villiers,28,773,511,57,39,20,10,27.607142857142858,151.27201565557732,0.18786692759295498,0.35714285714285715,0.7142857142857143,4,Middle-order
AD Russell,52,1084,712,74,89,41,14,20.846153846153847,152.24719101123597,0.22893258426966293,0.2692307692307692,0.7884615384615384,8,Finisher
AF Milne,3,16,19,0,1,2,0,5.333333333333333,84.21052631578947,0.05263157894736842,0.0,0.6666666666666666,8,Finisher
AJ Finch,17,354,324,38,11,17,4,20.823529411764707,109.25925925925925,0.15123456790123457,0.23529411764705882,1.0,1,Opener
AJ Hosein,1,16,11,1,1,0,0,16.0,145.45454545454547,0.18181818181818182,0.0,0.0,8,Finisher
AJ Turner,2,21,20,0,2,2,0,10.5,105.0,0.1,0.0,1.0,7,Finisher
AJ Tye,1,6,7,0,1,1,0,6.0,85.71428571428571,0.14285714285714285,0.0,1.0,7,Finisher
